"Name"
"Dajcer, Marko"
"Dajcman, Ziga"
"Damjanic, Igor"
"Dautovic, Emir"
"Debenjak, Ales"
"Debenjak, Grega"
"Dedic, Denis"
"Dedic, Haris"
"Dedic, Zlatko"
"Dedic, Zoran"
"Delamea, Antonio"
"Delic, Kadir"
"Demirovic, Elian"
"Derenda, Matevz"
"Deronja, Marko"
"Dervisevic, Amir"
"Devetak, Ivo"
"Devetak, Matija"
"Devetak, Miha"
"Diallo, Lamin"
"Dimitrov, Dejan"
"Dirnbek, Nino"
"Dizdarevic, Hasan"
"Dizdarevic, Jasmin"
"Djajic, Milan"
"Djenic, Aleksander"
"Djeric, Milos"
"Djermanovic, Dejan"
"Djokic, Sasa"
"Djokovic, Marko"
"Djordjevic, Srdjan"
"Djukic, Aleksander"
"Djukic, Darko"
"Djukic, Jan"
"Djuranovic, Bojan"
"Djuranovic, Damjan"
"Djuranovic, Goran"
"Djurdjevic, Milos"
"Djuric, Bojan"
"Djuric, Igor"
"Dobaj, Blaz"
"Dobnik, Zan"
"Dobnikar, Miha"
"Dobrovoljc, Gaber"
"Dodlek, Sven"
"Dodlek, Timotej"
"Dojcinovic, Vladimir"
"Dolinar, Blaz"
"Dolinar, Filip"
"Dolzan, Rok"
"Dominc, Luka"
"Doplihar, Nejc"
"Dornik, Jan"
"Dorniz, Gregor"
"Dragosavac, Darijo"
"Drakovic, Filip"
"Drkusic, Vanja"
"Drugovic, Robert"
"Dugonjic, Denis"
"Duh, Ales"
"Duh, Marko"
"Duh, Matej"
"Duh, Tadej"
"Dursun, Luka"
"Duscak, Nejc"
"Duspara, Rok"
"Dzaferovic, Denis"
"Dzafic, Elvis"
"Dzemic, Edin"
"Dzinic, Elvedin"
"Dzombic, Daniel"
"Dzuzdanovic, Amel"
"Ejup, Leo"
"Eler, Patrik"
"Elshani, Arlind"
"Elsner, Rok"
"Elsnik, Timi"
"Ercegovic, Jakob"
"Ermenc, Nace"
"Erzen, Ziga"
"Fabricijo, Matjaz"
"Farsang, Tadej"
"Fasvald, Nik"
"Fatkic, Kenan"
"Fazliu, Liridon"
"Felicijan, Bruno"
"Felja, Marko"
"Fende, Gasper"
"Ferencak, Leon"
"Ferjancic, Matic"
"Ficko, Matic"
"Fidersek, Dejan"
"Fidersek, Nejc"
"Fijavz, Samo"
"Filekovic, Suad"
"Filip, Luka"
"Filipcic, Nejc"
"Filipovic, Miran"
"Filipovic, Zeljko"
"Filipovic, Ziga"
"Fink, Gregor"
"Fink, Matic"
"Firer, Ivan"
"First, David"
"Fiser, Matej"
"Fister, Miha"
"Flis, Zan"
"Florjanc, Zan"
"Fordan, Mihael"
"Forneci, Dejan"
"Fortin, Matevz"
"Fortuna, David"
"Franjic, Anto"
"Fratina, Rok"
"Frelih, Bostjan"
"Frelih, David"
"Frelih, France"
"Frelih, Ziga"
"Fridl, Filip Anton"
"Fridl, Marko"
"Fridrih, Andraz"
"Fridrih, Kristijan"
"Frlez, Alen"
"Funtek, Jaka"
"Funtek, Jure"
"Funtek, Marko"
"Funtek, Matic"
"Furjan, Matic"
"Furlan, Marko"
"Fustar, Ivan"
"Gaber, Tadej"
"Gaberscek, Bostjan"
"Gabrovsek, Matevz"
"Gacnik, Andrej"
"Gaiser, Bojan"
"Gajic, Luka"
"Gajic, Marko"
"Gajsek, Robi"
"Gale, Bruno"
"Galic, Miran"
"Gasperlin, Rok"
"Gaspersic, Alen"
"Gasser, Ben"
"Gavranovic, Safet"
"Gavric, Davor"
"Gavric, Sanjin"
"Gavric, Ziga"
"Gavrilovic, Dejan"
"Gerbec, Anton"
"Gerecnik, Saso"
"Gerencer, Borut"
"Gerencser, Dezso"
"Gliha, Erik"
"Gliha, Sebastjan"
"Gluhovic, Aljosa"
"Glusic, Rene"
"Gnezda Cerin, Adam"
"Gobec, Joze"
"Gobec, Marcel"
"Gobec, Marko"
"Godnic, Matej"
"Gojak, Lan"
"Gojzdnik, Jure"
"Goljat, Ziga"
"Golob, Matic"
"Golob, Matjaz"
"Golob, Tim"
"Golob, Tomi"
"Golobic, Joze"
"Golubovic, Adnan"
"Gomboc, Filip"
"Gomboc, Saso"
"Gorenak, Uros"
"Gorenc, Jan"
"Goricar, Vid"
"Gorjup, Tadej"
"Goropevsek, Miha"
"Gorza, Vito"
"Gosak, Davorin"
"Gostencnik, Stanislav"
"Gracar, Miha"
"Gracner, Karlo"
"Grajfoner, Lovro"
"Grajfoner, Tim"
"Grbec, Javier"
"Grbic, Denis"
"Grbic, Jaka"
"Grbic, Zeljko"
"Grebenar, Daniel"
"Gregoric, Miha"
"Gregorin, Simon"
"Gril, Ales"
"Gril, Domen"
"Gril, Martin"
"Grilc, Matej"
"Grizold, Bostjan"
"Grmek, Jan"
"Gromilic, Dino"
"Grosic, Ales"
"Grosic, Elmas"
"Grubar, Rok"
"Grubelnik, Jure"
"Grudina, Rok"
"Grusovnik, Matic"
"Grvala, Ernest"
"Guberac, Denis"
"Guberac, Ivica"
"Guberac, Mario"
"Gucek, Luka"
"Gulic, Mark"
"Gvardjancic, Jernej"
"Gyergyek, Dusan"
"Hadzic, Damir"
"Hadzic, Eldin"
"Hadzimuratovic, Edvin"
"Hafner, Anze"
"Hajdarevic, Adnan"
"Hajric, Anel"
"Halas, Leon"
"Halilovic, Benjamin"
"Halilovic, Denis"
"Haliti, Begus"
"Haljeta, Nermin"
"Halozan, Urban"
"Hamer, Marino"
"Hamersak, Patrik"
"Handanovic, Jasmin"
"Handanovic, Samir"
"Hanzel, Aljaz"
"Hari, Vajda Max"
"Harl, Ziga"
"Harter, Denis"
"Hartman, Jan"
"Hartman, Zeljko"
"Hartman, Ziga"
"Hasanaj, Qendrim"
"Heljezovic, Haris"
"Hertelendi, Mihael"
"Herzic, Tilen Joshua"
"Hlede, Tine"
"Hlis, Zan"
"Hocevar, Alan"
"Hodnik, Tomaz"
"Hodzic, Adis"
"Hodzic, Amel"
"Hodzic, Anel"
"Hojnik, Matic"
"Holcman, Bostjan"
"Horjak, Ales"
"Horvat, Aleksander"
"Horvat, Denis"
"Horvat, Goran"
"Horvat, Ivica"
"Horvat, Janez"
"Horvat, Jernej"
"Horvat, Lucas"
"Horvat, Luka"
"Horvat, Marko"
"Horvat, Niki"
"Horvat, Rok"
"Horvat, Tomaz"
"Horvat, Tomaz"
"Horvat, Tomi"
"Horvat, Vojko"
"Horvat, Zan"
"Horvat, Zoran"
"Horzen, Patrik"
"Hotic, Dino"
"Hoxhaj, Patrit"
"Hozjan, Anej"
"Hozjan, Davor"
"Hozjan, Erik"
"Hrastnik, Zan"
"Hren, Primoz"
"Hribersek, Manuel"
"Hribersek, Matjaz"
"Hrka, Darko"
"Hrovat, Gasper"
"Hrusman, Miha"
"Hrzenjak, Vito"
"Huc, Marko"
"Hudin, Andrej"
"Hujdurovic, Enes"
"Humar, Jan"
"Humar, Kevin"
"Humar, Zan"
"Hutinski, Alen"
"Hvalic, Klemen"
"Ibraimi, Agim"
"Ibraimov, Djan"
"Iglic, Anze"
"Ihbeisheh, Jaka"
"Ilic, Aleksander"
"Ilic, Branko"
"Ilic, Marko"
"Ilic, Zarko"
"Ilicic, Josip"
"Irgolic, Nino"
"Irsic, Gregor"
"Istenic, Ziga"
"Ivacic, Aljaz"
"Ivanic, Luka"
"Ivanovic, Andraz"
"Ivanusa, Bostjan"
"Ivanusa, David"
"Ivec, Ales"
"Ivkic, Dominik"
"Ivkic, Mario"
"Jablanovec, Matej"
"Jager, Zvonko"
"Jakolic, Marko"
"Jakovljevic, Robi"
"Jakupovic, Adam"
"Jancar, Tadej"
"Jancic, Urban"
"Janjic, Urban"
"Jankovic, Zan"
"Jankulov, Marko"
"Janza, Erik"
"Janzek, David"
"Janzekovic, Luka"
"Janzekovic, Matic"
"Janzic, Primoz"
"Jarc, Klemen"
"Jarc, Martin"
"Jarc, Matija"
"Jasaragic, Anis"
"Jausovec, Patrik"
"Javornik, Luka"
"Javornik, Nik"
"Javornik, Timotej"
