"Name"
"Sarenren-Bazee, Noah-Joel"
"Sarki, Emmanuel"
"Sarpong, Jeffrey"
"Segun, Lukman"
"Segun, Okomayin"
"Sekidika, Jesse"
"Selbol, Nansel"
"Senninger, Fabian"
"Seth, Sincere"
"Shagari, Muhammad"
"Sharpe, Rhys"
"Shefiu, Dauda"
"Shehu, Abdullahi"
"Shodipo, Olamide"
"Shokunbi, Ade"
"Shomotun, Fumnaya"
"Shonibare, Josh"
"Sho-Silva, Tobi"
"Showemimo, Wasiu"
"Silas, Onyekachi"
"Simeon, Lawrence"
"Simon, Moses"
"Simy"
"Sobowale, Timi"
"Sobowale, Tunmise"
"Sodje, Sunday"
"Sohm, Simon"
"Solanke, Dominic"
"Solanke, Tom"
"Solomon, Christopher"
"Solomon, Theophilus"
"Solomon, Victor"
"Solomon-Otabor, Viv"
"Somadina, Charles"
"Sonupe, Emmanuel"
"Soriola, Gege"
"Sorunke, Kitan"
"Sowunmi, Omar"
"Success, Isaac"
"Success, Orji"
"Sulaimoh, Sheriffdeen"
"Sule, Aji"
"Sule, Fuad"
"Suleiman, Abdullhai"
"Suleiman, Ahmed"
"Suleiman, Kenneth"
"Suleiman, Qudus"
"Sunday, Joel"
"Sunday, Stephen"
"Tagbajumi, Marco"
"Tahir, Sani"
"Taiwo, Abdulrahman"
"Taiwo, Ayo"
"Taiwo, Taye"
"Taiwo, Tom"
"Tamuz, Toto"
"Tanimowo, Ayo"
"Tanko, Mark"
"Taylor, Richard"
"Thomas, Prince"
"Tibbling Ugwo, Jerome"
"Tinat, Gideon"
"Tomori, Fikayo"
"Torunarigha, Jordan"
"Torunarigha, Junior"
"Troost-Ekong, William"
"Tubonemi, Hector"
"Tukura, Michael"
"Ubaezuonu, Carlton"
"Uche"
"Uche, Emeka"
"Uche, Ikechukwu"
"Uche, Kalu"
"Uchebo, Michael"
"Udegbe, Robin"
"Udeh, Charles"
"Udeh, Damian"
"Udeh, Emmanuel"
"Udeh, Maduka Christopher"
"Udeh, Victor"
"Udo, Aniekpeno"
"Udo, Orji"
"Udogie, Iyenoma Destiny"
"Udoh, Daniel"
"Udoh, Nnamdi"
"Udoji"
"Udokporo, Elvis"
"Uduokhai, Felix"
"Ugbo, Ike"
"Ughelumba, Calvin"
"Ughojo, Blessing"
"Ugochukwu, Udochukwu"
"Ugwu, Gozie"
"Uhmo, Davids"
"Uhunamure, James"
"Ujah, Anthony"
"Ukah, Ugo"
"Ukwuoma, Stanley"
"Umar, Aminu"
"Umeh, Chukwuemeka"
"Umerah, Josh"
"Umukoro, Stanley"
"Unterfinger, Stefano"
"Urhoghide, Osaze"
"Ushie, Emmanuel"
"Usman, Ibrahim"
"Usman, Mohammed"
"Utaka, John"
"Uwadia, Idahosa"
"Uwakwe, Longinus"
"Uwakwe, Tariq"
"Uwezu, Michael"
"Uzo, Tobenna"
"Uzochokwu, Henry"
"Uzochukwu, Izunna"
"Uzoenyi, Ejike"
"Uzoho, Francis"
"Uzoma, Eke"
"Wali, Chika"
"Wasiu, Akanni-Sunday"
"West, Anderson"
"Williams Okpara Jr"
"Williams, David"
"Worgu, Stephen"
"Yahaya, Musa"
"Yahaya, Nazifi"
"Yakub, Habib"
"Yakubu, Ismail"
"Yamfam, Louis"
"Yampolsky, Dela"
"Yaro"
"Yem, Reuben"
"Youssef, Ma'rouf"
"Yussuff, Rashid"
"Yusuf Ahmat, Sad'eeq"
"Yusuf, Alhassan"
"Yusuf, Daniel"
"Zango, Umar"
"Zenke, Eric"
"Zenke, Simon"
"Zico"
"Zirkzee, Joshua"
"Zuma, Gideon"
