"Name"
"A?albjornsson, Bjartur"
"A?albjornsson, Hei?ar"
"A?algeirsson, Arnar"
"A?algeirsson, Haf?or Mar"
"A?alsteinsson, Arnor Da?i"
"A?alsteinsson, Arnor Sveinn"
"A?alsteinsson, Aron Kari"
"A?alsteinsson, Baldur Ingimar"
"A?alsteinsson, Bjarki"
"A?alsteinsson, Bjarni"
"A?alsteinsson, Bjorn Metusalem"
"A?alsteinsson, Elfar Arni"
"Adolfsson, Arni Einar"
"Adolphsson, Andri"
"?gisson, Elvar ?or"
"?gisson, Hei?ar"
"?gisson, Mar"
"?gisson, Steinar"
"?varsson, Armann Petur"
"Agnarsson, Erlingur"
"Agnarsson, Haf?or Atli"
"Agustsson, Axel Kari"
"Agustsson, Hrafnkell Freyr"
"Akason, Jon Vilhelm"
"Albertsson, Aron ?or?ur"
"Albertsson, Atli"
"Albertsson, Magnus ?or"
"Alexandersson, Andri Geir"
"Alexandersson, S?var Freyr"
"Alfre?sson, Birkir Sn?r"
"Anderson, Magnus Kristofer"
"Anderson, Mikael"
"Andrason, Atli Hrafn"
"Andrason, Marteinn Gauti"
"Andrason, Viktor Orlygur"
"Andresson, Ari Mar"
"Andresson, Axel"
"Andresson, Jokull"
"Antonsson, Axel Andri"
"Antonsson, Bjarni Mark"
"Antonsson, Einar Otto"
"Antonsson, Hartmann"
"Antonsson, Ivar Reynir"
"Antonsson, Marteinn Mar"
"Arason, Axel Gu?mundur"
"Armannsson, Hermann"
"Arnaldsson, ?rainn Agust"
"Arnarson, Adam Orn"
"Arnarson, Agust Orn"
"Arnarson, Arni"
"Arnarson, Atli"
"Arnarson, Hjorvar"
"Arnarson, Kolbeinn Aron"
"Arnarson, Sigur?ur ?or"
"Arnarson, Tomas Orn"
"Arnarsson, Alex Bergmann"
"Arnarsson, Da?i Freyr"
"Arnarsson, Fannar ?or"
"Arnarsson, Halldor"
"Arnarsson, Hjorvar Da?i"
"Arnarsson, Johann ?or"
"Arnarsson, O?inn"
"Arnarsson, Viktor Bjarki"
"Arnason, Andri ?or"
"Arnason, Arni Elvar"
"Arnason, Arni ?or"
"Arnason, Aron Elis"
"Arnason, Bjarki"
"Arnason, Bjarki Mar"
"Arnason, Brynjar"
"Arnason, Einar Karl"
