"Name"
"Amorim, Joao"
"Amorim, Joao"
"Amorim, Jose"
"Amorim, Luis"
"Amorim, Miguel"
"Amorim, Nuno"
"Amorim, Ruben"
"Anacleto, Andre"
"Anastacio, Joao"
"Anastacio, Tiago"
"Ancelmo"
"Andermatt, Mattia"
"Anderson"
"Anderson"
"Anderson Emanuel"
"Anderson Jose"
"Andorra"
"Andrade, Afonso"
"Andrade, Bruno"
"Andrade, Clemente"
"Andrade, Daniel"
"Andrade, Fabio"
"Andrade, Filipe"
"Andrade, Joao"
"Andrade, Jose"
"Andrade, Leandro"
"Andrade, Leonardo"
"Andrade, Mauro"
"Andrade, Rui"
"Andrade, Samuel"
"Andrade, Sergio"
"Andrade, Vitor"
"Andre"
"Andre Gomes"
"Andre Pato"
"Andre Simoes"
"Andre, Andre"
"Andre, Diogo"
"Andre, Nelson"
"Andre, Nuno"
"Andre, Rui"
"Andre, Tiago"
"Andres, Daniel"
"Andrew"
"Andrezinho"
"Andrezinho"
"Andrezinho"
"Andrezinho"
"Andrezinho"
"Andrezo, Diogo"
"Angban, Georges"
"Angelo, Fabio"
"Angelo, Jose"
"Angelo, Mario"
"Angelo, Miguel"
"Angelo, Miguel"
"Angelo, Miguel"
"Angelo, Miguel"
"Angelo, Ruben"
"Angola"
"Anibal"
"Anilton Junior"
"Anjos, Abel"
"Anjos, Leandro"
"Anjos, Miguel"
"Anjos, Ricardo"
"Anjos, Rodrigo"
"Anjos, Tiago"
"Annan, Fred"
"Anselmo, Elio"
"Anselmo, Pedro"
"Anselmo, Vitor"
"Ansumane"
"Anta"
"Antoine, Teddy"
"Antonio Gomes"
"Antonio, Claudio"
"Antonio, Daniel"
"Antonio, Duarte"
"Antonio, Edgar Andre"
"Antonio, Joao Luis"
"Antonio, Luke"
"Antonio, Marcio"
"Antruejo, Filipe"
"Antunes"
"Antunes, Alexis"
"Antunes, Antonio"
"Antunes, Daniel"
"Antunes, David"
"Antunes, Diogo"
"Antunes, Duarte"
"Antunes, Joao"
"Antunes, Jose"
"Antunes, Leandro"
"Antunes, Manuel"
"Antunes, Marco"
"Antunes, Mauricio"
"Antunes, Mauro"
"Antunes, Miguel"
"Antunes, Paulo"
"Antunes, Paulo"
"Antunes, Paulo"
"Antunes, Pedro"
"Antunes, Raul"
"Antunes, Ricardo"
"Antunes, Rodrigo"
"Antunes, Tiago"
"Antunes, Vasco"
"Apolinario, Marco"
"Apolinario, Pedro"
"Apolinario, Ricardo"
"Aranha, Andre"
"Aranha, Joao"
"Arantes, Paulo"
"Araujo, Alexis"
"Araujo, Andre"
"Araujo, Andre"
"Araujo, Antonio"
"Araujo, Brian"
"Araujo, Bruno"
"Araujo, Carlos"
"Araujo, Cristiano"
"Araujo, Diogo"
"Araujo, Filipe"
"Araujo, Gabriel"
"Araujo, Goncalo"
"Araujo, Guilherme"
"Araujo, Henrique"
"Araujo, Igor"
"Araujo, Joao"
"Araujo, Joaquim"
"Araujo, Joel"
"Araujo, Jordan"
"Araujo, Jose"
"Araujo, Luis Filipe"
"Araujo, Marcelo"
"Araujo, Miguel"
"Araujo, Pedro"
"Araujo, Pedro"
"Araujo, Ruben"
"Araujo, Tiago"
"Araujo, Tomas"
"Arcangelo, Antonio"
"Arcangelo, Nelson"
"Arcanjo, Fabio"
"Areias"
"Areias"
"Areias, Diogo"
"Areias, Fernando"
"Areias, Nelson"
"Areias, Pedro"
"Areias, Pedro"
"Armando"
"Armando"
"Armando Sa, Afonso"
"Arraiolos, Alfredo"
"Arreigota, Diogo"
"Arruda, Bruno"
"Arruda, Julio"
"Arsenio"
"Artur"
"Artur, Miguel"
"Ascencao, Nuno"
"Ascenso, Joao"
"Assis"
"Assis, Daniel"
"Assuncao, Daniel"
"Assuncao, Miguel"
"Assuncao, Nelson"
"Assuncao, Ricardo"
"Atalaia, Jose"
"Atanasio, Rodrigo"
"Atila"
"Augusto"
"Augusto, Diogo"
"Augusto, Goncalo"
"Augusto, Joao"
"Augusto, Joao"
"Augusto, Jorge"
"Augusto, Leon"
"Augusto, Marcio"
"Augusto, Pedro"
"Aurelio, Joao"
"Aurelio, Luis"
"Aurelio, Marco"
"Aurelio, Pedro"
"Ausonio"
"Aveiro, Brandon"
"Aveiro, Jake"
"Aveiro, Leonel"
"Aveiro, Marco"
"Avelino"
"Avila, Rui"
"Avto"
"Azevedo, Alberto"
"Azevedo, Andre"
"Azevedo, Andre"
"Azevedo, Antonio"
"Azevedo, Daniel"
"Azevedo, Daniel"
"Azevedo, Delcio"
"Azevedo, Goncalo"
"Azevedo, Goncalo"
"Azevedo, Helder"
"Azevedo, Henrique"
"Azevedo, Hugo"
"Azevedo, Leonardo"
"Azevedo, Marcos"
"Azevedo, Nelson"
"Azevedo, Ricardo"
"Azevedo, Ricardo"
"Azevedo, Simao"
"Azevedo, Telmo"
"Azevedo, Thomas"
"Azevedo, Tiago"
"Azevedo, Tomas"
"Azevedo, Vitor"
"Azul, Joao"
"Babo, Antonio"
"Babo, Micael"
"Bacalhau, Joao"
"Bacoco, Paulo"
"Badji, Pape"
"Baeta, Nuno"
"Bagorro, Rui"
"Bah, Amadou"
"Baiano"
"Baiao, Hugo"
"Baiao, Marcos"
"Baiao, Rafael"
"Bailao"
"Baio, Yalany"
"Bairos, Leonel"
"Baixinho"
"Baixinho, Jose"
"Baixinho, Marco"
"Bakerito"
"Balaco"
"Balas, Alex"
"Baldaia, Antonio Wesllem"
"Baldaia, Hugo"
"Balde, Aliu"
"Balde, Amido"
"Balde, Anderson"
"Balde, Bacar"
"Balde, Carlos"
"Balde, Carlos"
"Balde, Domingos"
"Balde, Edson"
"Balde, Eduardo Bubacar"
"Balde, Eliseu"
"Balde, Elves"
"Balde, Euclides"
"Balde, Fabio"
"Balde, Florentino"
"Balde, Helder"
"Balde, Idrissa"
"Balde, Igor"
"Balde, John"
"Balde, Malam"
"Balde, Malam"
"Balde, Mama"
"Balde, Mamadi"
"Balde, Mamadu"
"Balde, Mario"
"Balde, Maudo"
"Balde, Rachid"
"Balde, Romario"
"Balde, Umaro"
"Balegas, Moises"
"Balinha, Guilherme"
"Balito"
"Balseiro, Jorge"
"Baltazar, Diogo"
"Baltazar, Joao"
"Baltazar, Joao"
"Baltazar, Pedro"
"Baltazar, Vasco"
"Bamba, Baba"
"Bancessi, Eusebio"
"Bandarra, Miguel"
"Bandeira, Afonso"
"Bandeira, Joao"
"Bandeira, Luis"
"Banha, Andre"
"Banha, Marco"
"Banjai, Samir"
"Banjaqui, Zidane"
"Baptista, Antonio"
"Baptista, Filipe"
"Baptista, Joao"
"Baptista, Luis"
"Baptista, Marcos"
"Baptista, Mariano"
"Baptista, Miguel"
"Baptista, Miguel"
"Baptista, Paulo"
"Baptista, Tiago"
"Barata"
"Barata, Jose"
"Barata, Marcio"
"Barata, Tiago"
"Barbas, Alexandre"
"Barbeiro, Leandro"
"Barbosa"
"Barbosa, Andre"
"Barbosa, Andre"
"Barbosa, Bruno"
"Barbosa, Daniel"
"Barbosa, Daniel"
"Barbosa, Diogo"
"Barbosa, Diogo"
"Barbosa, Duarte"
"Barbosa, Eduardo"
"Barbosa, Francisco"
"Barbosa, Henrique"
"Barbosa, Hugo"
"Barbosa, Hugo"
"Barbosa, Luis"
"Barbosa, Luis"
"Barbosa, Martinho"
"Barbosa, Martinho"
"Barbosa, Miguel"
"Barbosa, Nuno"
"Barbosa, Pedro"
"Barbosa, Rafael"
"Barbosa, Ricardo"
"Barbosa, Ruben"
"Barbosa, Rui"
"Barbosa, Sergio"
"Barbosa, Tiago"
"Barcelos, Pedro"
"Barendse, Noah"
"Bari, Madiu"
"Bari, Mussa"
"Barny, Pedro"
"Baro, Romario"
"Barra, Tiago"
"Barracho, Filipe"
"Barradas, Bruno"
"Barradas, Nuno"
"Barradas, Paulo"
"Barradas, Sabri"
"Barradas, Simao"
"Barreira"
"Barreiro, Joel"
"Barreiro, Leandro"
"Barreiros, Rafael"
"Barreto, Filipe"
"Barreto, Ivo"
"Barreto, Michael"
"Barreto, Pedro Emanuel"
"Barroca"
"Barroca, Hugo"
"Barros"
"Barros, Cristiano"
"Barros, Francisco"
"Barros, Gil"
"Barros, Joao"
"Barros, Nuno"
"Barros, Oscar"
"Barros, Ricardo"
"Barros, Ricardo"
"Barros, Tiago"
"Barros, Tiago"
"Barroso, Alexandre"
"Barroso, Joao"
"Barroso, Luis"
"Barroso, Valentim"
"Barry, Luis"
"Basilio, Danilo"
"Basilio, Duarte"
"Basofia, Rui"
"Bassangue, Fabio"
"Bastardo Moreira, Diogo"
"Basto, Hugo"
"Bastos, Carlos"
"Bastos, Diogo"
"Bastos, Guilherme"
"Bastos, Igor"
"Bastos, Jorge"
"Bastos, Jose Carlos"
"Bastos, Manuel"
"Bastos, Rodrigo"
"Bastos, Vitor"
"Batalha, Andre"
"Batalha, Leonel"
"Batalha, Martim"
"Batalha, Rui"
"Batista Silva, Joedson"
"Batista, Antonio"
"Batista, Antonio"
"Batista, Armando"
"Batista, Bernardo"
"Batista, Bruno"
"Batista, Diego"
"Batista, Diogo"
"Batista, Filipe"
"Batista, Goncalo"
"Batista, Goncalo"
"Batista, Helder"
"Batista, Joao"
"Batista, Joao"
"Batista, Jose"
"Batista, Leandro"
"Batista, Luis"
"Batista, Pedro"
"Batista, Pedro"
"Batista, Ricardo"
"Batista, Simao"
"Be"
"Bean"
"Beato, Bruno"
"Beato, Raffaele"
"Beaulieu, Dylan"
"Beaulieu, Jonathan"
"Bebe"
"Bebe"
"Bebiano, Bruno"
"Bebiano, Micael"
"Beck"
"Beck, Armando"
"Beijocas, Emanuel"
"Belinha"
"Belo"
"Belo, Guilherme"
"Belo, Nuno"
"Belo, Paulo"
"Benali, Mohamed"
"Benavente, Paulo"
"Benay"
"Benevides, Rafael"
"Benigno"
"Benjamim, Nuno"
"Benjamim, Ricardo"
"Benny"
"Benny"
"Bento, Andre"
"Bento, Bernardo"
"Bento, Carlos"
"Bento, Emanuel"
"Bento, Jorge"
"Bento, Jose"
"Bento, Josemar"
"Bento, Marcos"
"Bento, Nuno"
"Bento, Rafael"
"Bento, Sava"
"Berna"
"Berna"
"Bernardino, Goncalo"
"Bernardo"
"Bernardo"
"Bernardo Diniz"
"Bernardo Silva"
"Bernardo, Alexandre"
"Bernardo, Andre"
"Bernardo, Bruno"
"Bernardo, Dario"
"Bernardo, Fabio"
"Bernardo, Jorge"
"Bernardo, Miguel"
"Bernardo, Paulo"
"Bernardo, Ruben"
"Bernardo, Tiago"
"Bernas"
"Bertolo, Carlos"
"Besirovic, Dino"
"Bessa"
"Bessa, Carlos"
"Bessa, Davide"
"Bessa, Diogo"
"Bessa, Hugo"
"Bessa, Leonardo"
"Bessa, Mauricio"
"Bessa, Paulo"
"Bessa, Rogerio"
"Bessa, Samuel"
"Bessa, Samuel"
"Besugo"
"Betinho"
"Beto"
"Beto"
"Beto"
"Biai, Bavikson"
"Biai, Celton"
"Biai, Ibraima"
"Biai, Mimito"
"Bianchi, Diogo"
"Bicho, Joao"
"Bicho, Marco"
"Bie"
"Bikel, Janio"
"Bilro, Filipe"
"Bilro, Gualter"
"Bischoff, Amaury"
"Bissula, Wlbonh"
"Bito"
"Bizarro, Tiago"
"Blondeau, Anthony"
"Boa Alma, Vitor"
"Boa Morte, Aylton"
"Boas, Fernando"
"Bobo"
"Bobo"
"Bocartelli"
"Bodin, Mael"
"Bogalho, Valter"
"Bolas, Bruno"
"Boldrin"
"Bonifacio, Joao"
"Bonifacio, Pedro"
"Bonito, David"
"Bonito, Fabio"
"Bonito, Nelson"
"Bonito, Pedro"
"Bonjardim, Jose"
"Bonnin, Bastien"
"Bordalo, Joao"
"Borges, Anthony"
"Borges, Claudio"
"Borges, Fabio"
"Borges, Felipe"
"Borges, Francisco"
"Borges, Goncalo"
"Borges, Kevin"
"Borges, Leandro"
"Borges, Mica"
"Borges, Nelson"
"Borges, Nuno"
"Borges, Nuno"
"Borges, Paulo"
"Borges, Rafael"
"Borges, Ricardo"
"Borges, Rodrigo"
"Borges, Ruben"
"Borges, Sergio"
"Borges, Tiago"
"Borges, Tiago"
"Borges, Tiago"
"Borges, Tristan"
"Borovschi, Oleg"
"Borracha, Antonio"
"Borracha, Rafael"
"Borracha, Ruben"
"Borralho, Paulo"
"Borrego, Vitor"
"Botelho, Cristovao"
"Botelho, Diogo"
"Botelho, Eliseu"
"Botelho, Francisco"
"Botelho, Joao"
"Botelho, Xavier"
"Botto, Fabio"
"Boucas, Ricardo"
"Boudzoumou, Elipold"
"Bozinoski, Tomas"
"Braga"
"Braga, Antonio"
"Braga, Claudio"
"Braga, Fabio"
"Braga, Luis"
"Braga, Marcelo"
"Braga, Pedro"
"Braga, Rafael"
"Braga, Vasco"
"Braganca, Daniel"
"Bral, Leandro"
"Branco, David"
"Branco, Diogo"
"Branco, Julien"
"Branco, Marcelo"
"Branco, Pedro"
"Branco, Sergio"
"Brandao, Afonso"
"Brandao, Evandro"
"Brandao, Goncalo"
"Brandao, Miguel"
"Brandao, Orlando"
"Brandao, Paulo"
"Brandao, Ricardo"
"Brandao, Tomas"
"Brandao, Vasco"
"Branquinho, Joao"
"Bras, Antonio"
"Bras, David"
"Bras, Diogo"
"Bras, Flavio"
"Bras, Goncalo"
"Bras, Marcio"
"Bras, Miguel"
"Bras, Nuno"
"Bras, Ricardo"
"Bras, Rodrigo"
"Brasil, Bruno"
"Brasil, Cesar"
"Brasil, Vitor"
"Braulio"
"Braz, Diogo"
"Braz, Diogo"
"Braz, Guilherme"
"Braz, Ivo"
"Braz, Joao"
"Braz, Jose"
"Braz, Luis"
"Braz, Tiago"
"Braz, Vitor"
"Breda, Alvaro"
"Breda, Luis"
"Bregaj, Elsamed"
"Breno"
"Brigido, Emanuel"
"Brigues, Filipe"
"Brites, Emanuel"
"Brites, Paulo"
"Brites, Ricardo"
"Brites, Ricardo"
"Brito"
"Brito, Afonso"
"Brito, Bruno"
"Brito, Diogo"
"Brito, Diogo"
"Brito, Fabio"
"Brito, Filipe"
"Brito, Filipe"
"Brito, Filipe"
"Brito, Henrique"
"Brito, Ivo"
"Brito, Joao"
"Brito, Jose"
"Brito, Marcio"
"Brito, Nelson"
"Brito, Rafael"
"Brito, Rodrigo"
"Brokinha"
"Bruma"
"Bruninho"
"Bruninho"
"Bruno"
"Bruno"
"Bruno Alves"
"Bruno Batata"
"Bruno Bryan"
"Bruno Filipe"
"Bruno Maia"
"Bruno Messi"
"Bruno Torres"
"Bruno Vale"
"Bruno, Claudio"
"Bruno, Claudio"
"Bruno, David"
"Bruno, Joao"
"Bruno, Luis"
"Bruno, Mauro"
"Bruno, Miguel"
"Bruno, Rui"
"Bruno, Rui"
"Bruno, Tiago"
"Bruno, Vitor"
"Buchinho, Amilcar"
"Buchinho, Antonio"
"Bulhao, Marcio"
"Bura"
"Burckhart, Charles"
"Burguette, Rui"
"Buta, Aurelio"
"Ca, Agostinho"
"Ca, Alberto"
"Ca, Alberto"
"Ca, Braima"
"Ca, Carlos"
"Ca, Ibraima"
"Ca, Jorge"
"Ca, Sumaila"
"Ca, Umaro"
"Ca, Umaro"
"Cabaco, Fabio"
"Cabral, Adao"
"Cabral, Alexis"
"Cabral, Antonio"
"Cabral, Bruno"
"Cabral, David"
"Cabral, Euclides"
"Cabral, Flavio"
"Cabral, Helder"
"Cabral, Helio"
"Cabral, Igor"
"Cabral, Jovane"
