"Name"
"A. Jason"
"A. Namathevan"
"A. Pavithran"
"A. Peter Das"
"A. Puvanarajah"
"A. Rameig"
"A. Salamon Raj"
"A. Segar"
"A. Shivan Pillay"
"A. Siva Kumar"
"A. Thamil Arasu"
"A. Venothnaidoo"
"Aaravin, R."
"Abdul Rahman, Zakaria"
"Abdul Rajum, Abdul Raihan"
"Abdul Rani, Mohd Faizal"
"Abdul Rani, Mohd Zazrir Naim"
"Abdul Rani, Muhd Sukur"
"Abdul Ra'op, Muhd Adib"
"Abdul Rashid, Asraf"
"Abdul Rashid, Mohd Afiq Aizat"
"Abdul Rashid, Muhd Akhyar"
"Abdul Rashid, Muhd Nasharizam"
"Abdul Razak, Abdul Rahim"
"Abdul Razak, Amirullah"
"Abdul Razak, Faris Fathudin"
"Abdul Razak, Halim"
"Abdul Razak, Mohd Badrul Amin"
"Abdul Razak, Mohd Sahri"
"Abdul Razak, Muhd Aqil"
"Abdul Razak, Muhd Hadi Fayyadh"
"Abdul Razak, Muhd Khaled"
"Abdul Razak, Muhd Na'im"
"Abdul Razak, Muhd Nazmi Farhan"
"Abdul Rosid, Mohd Rizal Fahmi"
"Abdul Salam, Fathurrazzak"
"Abdul Salamat, Muhd Fithri"
"Abdul Salim, Mohd Sabir"
"Abdul Samad, Muhd Aidilnizam"
"Abdul Samat, Shariff"
"Abdul Talib, Arif Akmal"
"Abdul Talib, Mohd Norfiqrie"
"Abdul Talib, Mohd Taha"
"Abdul Talib, Muhd Asyraf"
"Abdul Thani, Mohd Ikhmal"
"Abdul Wahab, Mohd Syauki"
"Abdul Wahab, Mohd Yazid"
"Abdul Wahab, Muhd Raihan"
"Abdul Wahab, Muhd Syazwan"
"Abdul Wahab, Naasiruddin"
"Abdul Wahaid, Muhd Asyraf"
"Abdul Wahid, Fairoz"
"Abdul Wahid, Mohd Yusri"
"Abdul Wahid, Wahyudi"
"Abdul Wahid, Zuhaili"
"Abdul, Mohd Haziq Mu'iz"
"Abdullah Zawawi, Fakhrul Zaman"
"Abdullah, Abdul Hafiz"
"Abdullah, Affendi Amri"
"Abdullah, Aiman Syazwan"
"Abdullah, Al-Amin"
"Abdullah, Aqhari"
"Abdullah, Azmi"
"Abdullah, Azwan"
"Abdullah, Iqbal"
"Abdullah, Khairul Izuan"
"Abdullah, Mohd Faizal"
"Abdullah, Mohd Fazli"
"Abdullah, Mohd Hakim"
"Abdullah, Mohd Imran"
"Abdullah, Mohd Izzuddin"
"Abdullah, Mohd Kamarudin"
"Abdullah, Mohd Luqman"
"Abdullah, Mohd Nizam"
"Abdullah, Mohd Qhaidir"
"Abdullah, Mohd Radzuan"
"Abdullah, Mohd Ridzuan"
"Abdullah, Mohd Shahril Izwan"
"Abdullah, Mohd Yatim"
"Abdullah, Mohd Yusoff"
"Abdullah, Muhamad Azri Azizi"
"Abdullah, Muhd Akmal"
"Abdullah, Muhd Amirul"
"Abdullah, Muhd Ashar Al-Aafiz"
"Abdullah, Muhd Danial Asyraf"
"Abdullah, Muhd Fadzlie"
"Abdullah, Muhd Faris Safwan"
"Abdullah, Muhd Helmi"
"Abdullah, Muhd Irfan"
"Abdullah, Muhd Ivaan Hakimi"
"Abdullah, Muhd Syazwan"
"Abdullah, Muhd Yusof"
"Abdullah, Muhd Zul Hakimie"
"Abdullah, Najib"
"Abdullah, Rizawan"
"Abdullah, Sheikh"
"Abdullah, Syafiq"
"Abdullah, Syukrie"
"Abdullah, Zahiruddin"
"Abdunloh Pula, Muhd Ridzuan"
"Abdur Raheem, Haziq"
"Abidin, Akmal"
"Abidin, Zainuddin"
"Abong, Joannes"
"Abu Bakar, Abu Huzaifah"
"Abu Bakar, Aminuddin"
"Abu Bakar, Khairul Nizam"
"Abu Bakar, Mohd Adib"
"Abu Bakar, Mohd Arif Fadzilah"
"Abu Bakar, Mohd Faizal"
"Abu Bakar, Mohd Hafiz"
"Abu Bakar, Mohd Hafiz"
"Abu Bakar, Mohd Hasbullah"
"Abu Bakar, Mohd Jamil"
"Abu Bakar, Mohd Nizam"
"Abu Bakar, Mohd Norazman"
"Abu Bakar, Muhd Fakrul Hakimi"
"Abu Bakar, Muhd Farhan"
"Abu Bakar, Muszaki"
"Abu Hassan, Hairol Fazreen"
"Abu Hassan, Mohd Lot"
"Abu Hassan, Muhd Hafiz"
"Abu Hassan, Muhd Nurridzuan"
"Abu Kasim, Muhd Nizamuddin"
"Abu Sahit, Mohd Zahier"
"Abu Samah, Mohd Syafiq"
"Abu Samah, Muhd Shazlan"
"Abu Samah, Shahurain"
"Abu Sujad, Hafiz"
"Abu Sujad, Sheikh"
"Abu Yazid, Hamirul Fahmie"
"Adam Hakeem"
"Adam, Ahmad Zulkarnain"
"Adan, Muhd Shukor"
"Adenan, Badrul Azhar"
"Adenan, Faiz Hanif"
"Adi Negara, Rudy Khairullah"
"Adnan, Alif Azuwad"
"Adnan, Haiqal"
"Adnan, Idraki"
"Adnan, Mohd Naim Izanee"
"Adrian Dhanaraj"
"Adrian Yeo"
"Adrian, Gavin"
"Adzman, Mohd Shahrizan Syafiq"
"Afiq, Dinie"
"Agus, Aldrian"
"Ahamad Dormad, Muhd Zuhairi"
"Ahmad Azahar, Muhd Aiman Firdaus"
"Ahmad Azam, Ahmad Azraf"
"Ahmad Azam, Ahmad Azri"
"Ahmad Bakhtiar, Ahmad Syahmi"
"Ahmad Fadly"
"Ahmad Fadzil, Azmirul Izzat"
"Ahmad Fuad, Ahmad Haziq"
"Ahmad Fuzi, Muhd Fauzan"
"Ahmad Ismadi, Mohd Huzaifah"
"Ahmad Jaafar, Ahmad Salman"
"Ahmad Kamal, Muhd Azam Adzim"
"Ahmad Kamal, Muhd Naqiuddin"
"Ahmad Kamal, Syafiq Azri"
"Ahmad Kamarudin, Muhd Hafidz"
"Ahmad Latiff"
"Ahmad Latpi, Mohd Nabil"
"Ahmad Nasir, Muhd Akmal"
"Ahmad Nazari, Nazrul"
"Ahmad Nazaruddin, Muhd Nazirul"
