"Name"
"Nsimba, Kevin"
"N'Sonde, Jonathan"
"N'Tessa, Kartelien"
"Nyamsangya, Eddo"
"Obambot, Alexandre"
"Obita, Jordan"
"Ochan, Patrick"
"Ochieng, David"
"Ochieng, Henry"
"Ochieng, Mark"
"Ochieng, Ovella"
"Odongkara, Robert"
"Oduor, Clarke"
"Ofouya, Erwann"
"Okello, David"
"Okumu, Joseph"
"Oliech, Dennis"
"Oloya, Moses"
"Olsson, Marcus"
"Olsson, Martin"
"Olum, Lawrence"
"Oluoch, Boniface"
"Olwa-Luta, Malcom"
"Omar, Aboud"
"Omolo, Johanna"
"Ondama, Fabrice"
"Ondongo, Roland"
"Oniangue, Prince"
"Onkony, Brandon"
"Onyango, Brian"
"Onyango, Denis"
"Opiyo, Peter"
"Opondo, Moses"
"Origi, Arnold"
"Origi, Divock"
"Osano, Curtis"
"Osiako, Patrick"
"Otim, Elvis"
"Otman, Veselin"
"Oualembo, Thomas"
"Ouma, Eric"
"Ousseini, Alain"
"Owomat, Yves"
"Pambou, Yves Simon"
"Passi, Bryan"
"Pellegrino, Amahl"
"Perra, Jonas"
"Pinga, Aimery"
"Poaty, Morgan"
"Poulsen, Yussuf"
"Razak, Apollo"
"Ribeiro, Joel"
"Said Mhando, Carte"
"Samatta, Mbwana"
"Samba, Brice"
"Samba, Christopher"
"Samba, Dorian"
"Scriven, Alfred"
"Sekajja, Ibra"
"Seleman, Uhuru"
"Sembolo, Francky"
"Shiashia, Christopher"
"Sila, Richard"
"Simba, Asokolo"
"Simba, Charles"
"Simba, Heradi"
"Simba, Moonga"
"Simba, Mtaka"
"Spielmann, Marvin"
"Ssekagya, Bashir"
"Ssemakula, Trevor"
"Sserunkuma, Dan"
"Ssewankambo, Isak"
"Taban, Innocent"
"Tafesse, Kot Chol"
"Tchibota, Mavis"
"Tchiloumbou, Harris"
"Tshibwabwa, Ephraim"
"Tshimanga, Kabongo"
"Tsouka, Ravy"
"Tsoumou, Juvhel"
"Tueba, Randy"
"Tuyishime, Jean-Delors"
"Vena, Romeo"
"Vyner, Zak"
"Wafula, Jonathan"
"Walongwa, Anthony"
"Walusimbi, Godfrey"
"Wamangituka, Silas"
"Wambani, Anthony"
"Wanyama Wandera, Michael"
"Wanyama, Victor"
"Waweru, Wilson"
"Were, Paul"
"Woldemichael, Melkie"
"Yahaya, Mubiru"
"Yoka, Yannick"
"Yussuf, Adi"
"Zachariassen, Soren"
"Zanzala, Offrande"
"Zinga, Kevin"
"Zizinga, Allan"
